surface,tau,grid_size,contour_id,vertex_id,x,y
objective_level,0.05,31,0,0,915.9677740210218,263.3676151880411
objective_level,0.05,31,0,1,919.910783471922,196.66982109551896
objective_level,0.05,31,0,2,981.8445828308822,140.52629560709886
objective_level,0.05,31,0,3,992.3988514349844,129.9720270029967
objective_level,0.05,31,0,4,992.8009123216492,63.27423291047455
objective_level,0.05,31,0,5,992.8282832227358,-3.4235611820476493
objective_level,0.05,31,0,6,992.5860094895545,-70.12135527456985
objective_level,0.05,31,0,7,992.1341519708589,-136.819149367092
objective_level,0.05,31,0,8,981.8445828308822,-147.1087185070686
objective_level,0.05,31,0,9,922.6458282016196,-203.5169434596142
objective_level,0.05,31,0,10,921.9531919180603,-270.2147375521364
objective_level,0.05,31,0,11,921.0900976702027,-336.91253164465854
objective_level,0.05,31,0,12,915.1467887383601,-342.855840576501
objective_level,0.05,31,0,13,850.6820671666294,-403.61032573718074
objective_level,0.05,31,0,14,848.448994645838,-405.8433982579722
objective_level,0.05,31,0,15,806.6575406235535,-403.61032573718074
objective_level,0.05,31,0,16,792.0599729808375,-336.91253164465854
objective_level,0.05,31,0,17,783.2535121651152,-270.2147375521364
objective_level,0.05,31,0,18,781.7512005533157,-237.44422180032726
objective_level,0.05,31,0,19,780.6126886862194,-203.5169434596142
objective_level,0.05,31,0,20,781.7512005533157,-172.77860541048318
objective_level,0.05,31,0,21,783.2519974980371,-136.819149367092
objective_level,0.05,31,0,22,791.8187424417515,-70.12135527456985
objective_level,0.05,31,0,23,805.5896860340945,-3.4235611820476493
objective_level,0.05,31,0,24,823.8010635917045,63.27423291047455
objective_level,0.05,31,0,25,845.2214682949295,129.9720270029967
objective_level,0.05,31,0,26,848.448994645838,137.48094084946396
objective_level,0.05,31,0,27,876.7011798255168,196.66982109551896
objective_level,0.05,31,0,28,910.5159931461872,263.3676151880411
objective_level,0.05,31,0,29,915.1467887383601,270.50495459879784
objective_level,0.05,31,0,30,915.9677740210218,263.3676151880411
objective_level,0.05,31,1,0,53.215693366576616,997.0433502057851
objective_level,0.05,31,1,1,114.77325962809385,935.6162114174595
objective_level,0.05,31,1,2,181.47105372061606,937.4525234995967
objective_level,0.05,31,1,3,248.1688478131382,939.0777259345059
objective_level,0.05,31,1,4,314.8666419056604,940.5026896600939
objective_level,0.05,31,1,5,325.02377545249135,930.345556113263
objective_level,0.05,31,1,6,381.5644359981826,873.1805304353438
objective_level,0.05,31,1,7,448.26223009070475,874.3383543838522
objective_level,0.05,31,1,8,458.95282245381605,863.6477620207409
objective_level,0.05,31,1,9,514.960024183227,805.7405821274486
objective_level,0.05,31,1,10,581.6578182757492,806.4315444613461
objective_level,0.05,31,1,11,591.1393948088767,796.9499679282187
objective_level,0.05,31,1,12,648.3556123682713,734.3361044616233
objective_level,0.05,31,1,13,652.4395429941982,730.2521738356963
objective_level,0.05,31,1,14,648.3556123682713,707.076576951389
objective_level,0.05,31,1,15,581.6578182757492,702.9635312766648
objective_level,0.05,31,1,16,514.960024183227,703.7114688934632
objective_level,0.05,31,1,17,448.26223009070475,709.0448995127362
objective_level,0.05,31,1,18,381.5644359981826,718.5694612977275
objective_level,0.05,31,1,19,322.555801695495,730.2521738356963
objective_level,0.05,31,1,20,314.8666419056604,732.5585296871704
objective_level,0.05,31,1,21,248.1688478131382,755.7941251202524
objective_level,0.05,31,1,22,181.47105372061606,782.1576007503313
objective_level,0.05,31,1,23,147.24478693486373,796.9499679282187
objective_level,0.05,31,1,24,114.77325962809385,816.0649426011078
objective_level,0.05,31,1,25,48.07546553557165,857.0879958776808
objective_level,0.05,31,1,26,37.79947492740946,863.6477620207409
objective_level,0.05,31,1,27,-18.62232855695052,910.5317303427955
objective_level,0.05,31,1,28,-19.51478179978865,930.345556113263
objective_level,0.05,31,1,29,-21.6728948751012,997.0433502057851
objective_level,0.05,31,1,30,-18.62232855695052,1000.0939165239358
objective_level,0.05,31,1,31,48.07546553557165,1002.1835780367901
objective_level,0.05,31,1,32,53.215693366576616,997.0433502057851
