surface,tau,grid_size,contour_id,vertex_id,x,y
objective_level,0.05,11,0,0,899.1539632586392,334.55351795721504
objective_level,0.05,11,0,1,920.7661667014328,131.77076782573545
objective_level,0.05,11,0,2,923.6359351882988,-71.01198230574403
objective_level,0.05,11,0,3,922.4574532351903,-273.79473243722356
objective_level,0.05,11,0,4,859.8202304951112,-336.43195517730277
objective_level,0.05,11,0,5,657.0374803636316,-321.48821272795874
objective_level,0.05,11,0,6,454.25473023215204,-283.6345838173736
objective_level,0.05,11,0,7,444.41487885200206,-273.79473243722356
objective_level,0.05,11,0,8,454.25473023215204,-226.59200000235634
objective_level,0.05,11,0,9,533.8513058053193,-71.01198230574403
objective_level,0.05,11,0,10,647.0285887660821,131.77076782573545
objective_level,0.05,11,0,11,657.0374803636316,139.26970783006126
objective_level,0.05,11,0,12,832.4128246892599,334.55351795721504
objective_level,0.05,11,0,13,859.8202304951112,373.8872507207431
objective_level,0.05,11,0,14,899.1539632586392,334.55351795721504
objective_level,0.05,11,1,0,319.0138651892694,942.9017683516536
objective_level,0.05,11,1,1,454.25473023215204,802.6675530248016
objective_level,0.05,11,1,2,657.0374803636316,804.5396752457124
objective_level,0.05,11,1,3,721.45813738917,740.119018220174
objective_level,0.05,11,1,4,657.0374803636316,613.4605695903607
objective_level,0.05,11,1,5,483.4630994251663,537.3362680886946
objective_level,0.05,11,1,6,454.25473023215204,535.1729075138048
objective_level,0.05,11,1,7,251.47198010067257,519.3945640064825
objective_level,0.05,11,1,8,48.689229969193036,511.6185156797118
objective_level,0.05,11,1,9,32.60473531379759,537.3362680886946
objective_level,0.05,11,1,10,-2.074701631116511,740.119018220174
objective_level,0.05,11,1,11,-13.096730910023297,942.9017683516536
objective_level,0.05,11,1,12,48.689229969193036,1004.68772923087
objective_level,0.05,11,1,13,251.47198010067257,1010.4436534402505
objective_level,0.05,11,1,14,319.0138651892694,942.9017683516536
