seed,sample_id,branch,target_x,target_y,receive_radius,first_distance,second_distance,finite_intersection,error_m,second_reception
0,0,branch_primary,1257.1187097116833,761.6076832281383,1493.200758478448,1469.8277836057189,1416.896082184248,True,18.503618209427298,True
0,1,branch_primary,989.3263534366218,597.6705924282211,1223.5961148830022,1155.8446135435784,1132.945021860617,True,29.938181008616187,True
0,2,branch_primary,460.8284494327675,279.0521940994944,1147.8436234988496,538.7327601309861,656.2350109639577,True,17.32230278451879,True
0,3,branch_primary,350.05220259017466,212.52025162540357,1297.7774274204996,409.51361624390165,590.1340203653976,True,1.9451278421225278,True
0,4,branch_primary,778.9076348508726,497.5363602607117,1177.8788321156965,924.250795731579,921.8643433732286,True,51.124740105097956,True
0,5,branch_primary,1045.633034207136,673.5387511364011,1432.4193343323223,1243.7857096411763,1195.3741941879503,True,57.19135040193737,True
0,6,branch_primary,1128.3547428751378,685.3672116855545,1426.704466475864,1320.1941677732295,1278.905387397171,True,35.921580536509104,True
0,7,branch_primary,277.212507903121,177.16545238904803,1103.5143262839947,328.9899269858485,553.3119054335768,True,3.251636292858882,True
0,8,branch_primary,1004.3606029437024,632.2735784879201,1377.8889034744484,1186.806681308863,1150.2698107308997,True,19.20802110296942,True
0,9,branch_primary,100.34552760113587,63.21015748575735,1007.029542574456,118.59489415200204,533.2930598714694,True,6.873825352642378,True
0,10,branch_primary,734.6281059882863,475.37707201798287,1055.8739076515221,875.0210367233049,878.9363494813892,True,1.9799340082020356,True
0,11,branch_primary,1249.6080445021528,751.0480847136714,1464.7216799793111,1457.9415250402083,1407.8449219118836,True,27.75693822434128,True
0,12,branch_primary,466.44710309912375,296.8672597279563,1176.838856009707,552.9042140262185,654.6248475466467,True,7.457826816890345,True
0,13,branch_primary,623.2881132196992,375.4061335747504,1005.9548691705089,727.6110480239535,782.4742313248094,True,6.948723561230215,True
0,14,branch_primary,408.8531548977958,264.04173615647227,1464.953761831839,486.70210673717565,615.3709507458944,True,6.050958093627972,True
0,15,branch_primary,924.1862888252933,564.6286513218906,1182.8881585866081,1083.0169944863496,1066.5712803240026,True,13.820072061526561,True
0,16,branch_primary,1068.7319348932374,688.9482778550483,1333.37688232531,1271.5493219769653,1220.1349722664843,True,14.971467650930796,True
0,17,branch_primary,1121.6108916782644,684.3718916457227,1383.8171746408887,1313.91623721075,1272.0918234175272,True,22.82299944886475,True
0,18,branch_primary,643.629812955314,393.0421730210352,1470.369357864221,754.1495116341255,798.9897134801448,True,12.247575971680627,True
0,19,branch_primary,1122.9625660196425,705.1607860548725,1387.2216125332577,1326.0077898982893,1275.9874966500458,True,23.677247044193322,True
0,0,branch_opposite,1257.1187097116833,761.6076832281383,1493.200758478448,1469.8277836057189,1401.58366285227,True,58.15622966412983,True
