seed,sample_id,branch,target_x,target_y,receive_radius,first_distance,second_distance,finite_intersection,error_m,second_reception
0,0,branch_primary,1259.9466905052786,803.4775802310121,1498.016223714236,1494.3366035967556,813.2654460444487,True,25.841174514181507,True
0,1,branch_primary,379.8672552239459,229.10087510878898,1413.6368111932384,443.60606687351265,649.8608824008734,True,14.650744369306748,True
0,2,branch_primary,835.4914532546546,516.6916349048859,1033.3150710837513,982.3523879149776,510.6696547844285,True,13.231653166786153,True
0,3,branch_primary,491.20880168724494,296.2332487175391,1076.313301338153,573.6202790180682,572.3398850612967,True,6.599734119277982,True
0,4,branch_primary,895.072826181369,572.709363926307,1462.427851304064,1062.6153488902644,549.6518982801458,True,17.495731679099098,True
0,5,branch_primary,1029.3511597608358,659.2687840825268,1479.4161991929802,1222.3743860890702,626.9225364441878,True,19.560262552569533,True
0,6,branch_primary,1142.7834726933256,728.8096717104578,1408.3035368176393,1355.403114589797,710.3602814894736,True,6.05126149505734,True
0,7,branch_primary,644.7201121408007,406.3591092981928,1303.9876492665296,762.0969418049565,514.964314852563,True,8.037902289968168,True
0,8,branch_primary,1244.7691961653004,786.7800045296384,1474.196909109089,1472.5736406881886,792.6375926919972,True,11.537692975604065,True
0,9,branch_primary,575.8492288516488,360.81315347086297,1289.9866313676184,679.5501939420128,535.5958329634966,True,8.857420448482832,True
0,10,branch_primary,374.51204353909924,235.7069102222486,1062.9991092397586,442.51216738339673,656.9761227068444,True,12.379647633271862,True
0,11,branch_primary,968.5812653496962,596.4540739617955,1313.9302894756506,1137.5003867832493,564.2397217778001,True,12.271956712135536,True
0,12,branch_primary,683.8671392068404,429.7718575566379,1018.0067457492967,807.6992717804263,506.9273348257743,True,10.072332460663414,True
0,13,branch_primary,954.1031636645649,576.4341107750724,1408.5961196311398,1114.7148204719358,545.2637366801871,True,13.335123124974748,True
0,14,branch_primary,585.4090751525611,369.6530567076319,1193.3394403196357,692.3490215233012,533.5989783412792,True,5.379658355927199,True
